二码,历史最大遗漏值,当前遗漏值,超过当前遗漏次数,超过最大遗漏次数,上次较大遗漏期数和值,出现次数,遗漏序列
16,169,6,176,0,23011至23101(90期),256,"[39, 55, 17, 7, 57, 19, 5, 14, 38, 27, 3, 14, 5, 9, 12, 12, 8, 10, 29, 31, 7, 20, 4, 57, 37, 5, 22, 11, 20, 12, 13, 43, 6, 18, 1, 44, 16, 11, 20, 25, 20, 13, 49, 16, 13, 23, 10, 4, 7, 3, 17, 5, 23, 5, 21, 20, 1, 11, 13, 3, 2, 9, 12, 15, 10, 5, 2, 54, 9, 26, 9, 26, 26, 14, 35, 69, 24, 27, 18, 9, 14, 45, 51, 30, 1, 2, 11, 40, 13, 7, 11, 2, 7, 3, 3, 18, 7, 4, 6, 45, 12, 7, 22, 11, 28, 9, 5, 3, 19, 12, 5, 3, 16, 4, 4, 33, 20, 55, 56, 2, 4, 3, 35, 7, 7, 8, 3, 33, 13, 89, 50, 1, 12, 50, 2, 13, 17, 1, 3, 12, 9, 19, 1, 18, 54, 18, 24, 23, 12, 17, 18, 9, 2, 3, 11, 5, 15, 10, 23, 14, 16, 19, 28, 31, 27, 4, 10, 10, 9, 5, 7, 25, 17, 39, 6, 53, 8, 10, 5, 21, 169, 57, 35, 14, 26, 15, 90, 12, 12, 3, 88, 17, 55, 12, 4, 30, 11, 42, 2, 34, 9, 5, 1, 25, 23, 6, 24, 1, 64, 15, 23, 32, 9, 1, 4, 34, 13, 1, 33, 4, 24, 2, 13, 10, 5, 11, 23, 20, 22, 3, 14, 12, 1, 2, 28, 13, 4, 10, 6]"
17,163,22,68,0,19232至19334(102期),236,"[7, 31, 5, 1, 61, 11, 3, 1, 22, 20, 1, 2, 68, 3, 2, 6, 13, 13, 60, 3, 17, 22, 23, 25, 64, 31, 10, 35, 19, 23, 10, 4, 1, 20, 10, 1, 17, 30, 26, 4, 8, 4, 13, 36, 7, 3, 15, 15, 1, 5, 1, 16, 46, 2, 57, 37, 7, 8, 17, 21, 34, 11, 6, 6, 15, 29, 6, 77, 22, 48, 12, 12, 21, 19, 41, 2, 39, 9, 20, 7, 15, 9, 15, 4, 48, 13, 6, 1, 22, 4, 31, 12, 57, 13, 16, 12, 27, 1, 3, 1, 9, 41, 9, 49, 47, 6, 18, 22, 5, 34, 18, 4, 19, 3, 11, 19, 15, 26, 2, 20, 27, 10, 19, 17, 35, 41, 102, 53, 5, 18, 37, 29, 36, 12, 44, 19, 12, 10, 20, 16, 16, 6, 25, 2, 4, 4, 52, 10, 11, 5, 2, 163, 11, 33, 33, 39, 8, 29, 40, 24, 17, 9, 14, 46, 9, 33, 15, 4, 6, 5, 8, 28, 29, 3, 10, 1, 20, 13, 17, 31, 7, 13, 23, 70, 17, 3, 13, 26, 60, 3, 3, 30, 10, 17, 9, 10, 9, 34, 10, 3, 25, 16, 39, 5, 9, 5, 52, 6, 28, 55, 17, 14, 8, 6, 9, 1, 9, 90, 7, 44, 38, 10]"
79,159,35,35,0,13215至13307(92期),246,"[28, 22, 16, 6, 37, 11, 14, 5, 12, 92, 3, 6, 4, 76, 7, 43, 1, 62, 13, 5, 20, 63, 45, 4, 11, 3, 18, 36, 5, 4, 12, 19, 10, 22, 6, 17, 14, 80, 10, 20, 13, 2, 49, 7, 10, 4, 16, 25, 35, 27, 13, 61, 6, 6, 6, 12, 6, 26, 28, 8, 11, 20, 7, 24, 7, 13, 12, 7, 16, 23, 10, 50, 11, 15, 58, 66, 5, 1, 3, 61, 6, 29, 1, 2, 8, 8, 38, 11, 10, 18, 36, 19, 7, 5, 5, 37, 3, 58, 1, 27, 4, 11, 10, 20, 6, 6, 6, 5, 44, 6, 13, 4, 16, 4, 22, 25, 16, 10, 3, 10, 49, 16, 19, 20, 8, 6, 4, 19, 3, 13, 11, 13, 6, 38, 7, 44, 2, 4, 26, 49, 4, 20, 4, 13, 5, 5, 31, 38, 24, 6, 34, 25, 62, 1, 14, 29, 4, 16, 9, 1, 6, 13, 14, 14, 18, 9, 84, 23, 6, 6, 11, 12, 14, 159, 10, 22, 1, 53, 61, 15, 20, 11, 12, 3, 3, 15, 11, 4, 29, 11, 7, 13, 34, 6, 4, 5, 8, 6, 9, 60, 19, 43, 2, 22, 14, 35, 8, 21, 27, 16, 22, 2, 17, 70, 22, 7, 6, 4, 21, 34, 5, 19, 8, 9, 14, 7, 11, 18, 63, 50, 27, 2, 3]"
02,159,0,225,0,14338至15085(104期),246,"[4, 8, 17, 10, 54, 5, 20, 22, 9, 52, 11, 11, 45, 8, 2, 31, 9, 15, 6, 1, 11, 23, 73, 14, 32, 11, 14, 12, 12, 13, 51, 15, 10, 1, 104, 25, 30, 32, 14, 32, 1, 22, 6, 8, 2, 62, 16, 1, 34, 7, 66, 18, 42, 7, 24, 17, 93, 21, 12, 27, 4, 20, 55, 26, 88, 16, 11, 26, 17, 40, 15, 20, 5, 39, 1, 6, 10, 15, 29, 7, 11, 26, 8, 24, 78, 25, 29, 14, 2, 10, 13, 6, 9, 103, 159, 1, 8, 8, 20, 28, 3, 6, 6, 33, 26, 18, 19, 21, 7, 4, 44, 16, 1, 3, 10, 1, 22, 3, 13, 6, 2, 51, 25, 55, 3, 29, 16, 10, 20, 6, 44, 8, 41, 36, 6, 6, 22, 6, 31, 13, 15, 9, 8, 8, 9, 18, 16, 33, 2, 14, 8, 8, 15, 28, 20, 10, 28, 24, 30, 24, 13, 8, 2, 1, 2, 19, 5, 38, 34, 14, 8, 12, 9, 57, 30, 34, 15, 8, 3, 55, 1, 11, 50, 82, 11, 32, 8, 12, 35, 21, 18, 3, 3, 4, 4, 3, 9, 10, 14, 5, 5, 9, 13, 4, 3, 19, 15, 3, 20, 54, 22, 22, 2, 5, 2, 13, 28, 14, 6, 13, 6, 4, 20, 1, 27]"
48,148,32,37,0,21231至21335(104期),251,"[41, 12, 11, 17, 32, 2, 14, 1, 23, 5, 2, 2, 26, 17, 5, 23, 9, 65, 8, 3, 2, 43, 7, 12, 24, 31, 3, 9, 3, 12, 3, 16, 50, 9, 148, 26, 12, 5, 38, 12, 16, 29, 26, 30, 3, 25, 43, 42, 1, 35, 18, 1, 11, 12, 30, 2, 26, 19, 28, 31, 11, 9, 10, 45, 10, 25, 12, 6, 21, 15, 13, 15, 6, 3, 10, 24, 12, 12, 48, 12, 13, 11, 60, 39, 25, 24, 2, 36, 14, 46, 13, 6, 16, 14, 44, 39, 22, 49, 20, 8, 3, 7, 4, 32, 17, 20, 23, 9, 40, 4, 7, 40, 7, 32, 1, 3, 29, 8, 16, 24, 7, 3, 21, 15, 24, 11, 5, 22, 18, 14, 4, 9, 33, 8, 25, 6, 36, 43, 64, 46, 52, 1, 22, 12, 8, 24, 10, 10, 29, 10, 8, 5, 17, 104, 15, 3, 17, 23, 83, 2, 19, 8, 16, 2, 18, 6, 13, 3, 35, 5, 22, 1, 17, 74, 3, 16, 15, 6, 23, 13, 1, 20, 11, 5, 16, 3, 20, 1, 11, 25, 49, 35, 12, 1, 6, 9, 3, 6, 18, 13, 9, 51, 2, 43, 12, 4, 21, 8, 3, 12, 1, 6, 11, 10, 38, 7, 4, 5, 5, 25, 39, 15, 27, 24, 13, 23, 12, 52, 18, 27, 3, 19, 6, 2, 9, 11, 8, 6, 5]"
58,146,10,140,0,16030至16108(78期),254,"[14, 3, 3, 21, 10, 16, 12, 25, 66, 13, 14, 1, 37, 28, 12, 25, 6, 14, 39, 9, 3, 21, 4, 7, 3, 8, 14, 13, 12, 5, 4, 6, 2, 8, 8, 5, 25, 5, 62, 51, 32, 3, 7, 38, 6, 16, 64, 12, 44, 22, 6, 34, 36, 5, 2, 2, 36, 2, 21, 1, 16, 78, 59, 45, 22, 3, 67, 7, 42, 4, 19, 54, 13, 10, 2, 28, 19, 5, 2, 3, 13, 19, 11, 1, 4, 2, 27, 20, 12, 13, 1, 4, 19, 2, 8, 2, 16, 6, 1, 4, 70, 59, 4, 54, 10, 9, 11, 47, 12, 1, 53, 28, 20, 7, 4, 22, 19, 25, 32, 36, 15, 5, 27, 2, 21, 7, 14, 6, 3, 37, 5, 2, 33, 16, 2, 13, 40, 33, 1, 4, 18, 23, 17, 18, 8, 18, 13, 4, 17, 2, 4, 2, 8, 26, 13, 24, 1, 13, 39, 11, 49, 9, 2, 2, 11, 5, 1, 11, 52, 2, 12, 16, 7, 6, 40, 5, 21, 26, 25, 12, 1, 47, 32, 5, 36, 1, 15, 4, 4, 17, 4, 12, 39, 6, 11, 15, 15, 25, 40, 1, 20, 7, 43, 18, 9, 71, 11, 20, 1, 1, 13, 42, 2, 58, 146, 31, 5, 14, 25, 11, 1, 21, 6, 38, 3, 75, 71, 11, 26, 5, 17, 16, 25, 1, 48, 7, 13, 15, 8, 21, 7]"
05,137,0,236,0,17337至18081(102期),247,"[13, 49, 8, 36, 30, 21, 31, 8, 7, 5, 45, 12, 25, 8, 10, 28, 28, 2, 13, 29, 25, 73, 30, 17, 16, 1, 48, 11, 25, 79, 15, 18, 25, 2, 19, 3, 8, 2, 2, 4, 47, 14, 137, 2, 2, 7, 11, 18, 27, 3, 64, 30, 12, 15, 8, 14, 6, 9, 22, 1, 26, 11, 7, 12, 6, 2, 26, 9, 1, 6, 10, 14, 2, 1, 3, 75, 55, 39, 18, 14, 88, 102, 15, 5, 4, 1, 2, 5, 20, 9, 31, 70, 19, 70, 8, 3, 13, 25, 19, 2, 2, 20, 17, 10, 17, 4, 22, 33, 54, 22, 39, 18, 7, 30, 1, 10, 7, 7, 1, 36, 49, 42, 12, 20, 36, 31, 3, 25, 15, 9, 1, 10, 56, 8, 15, 14, 19, 33, 16, 22, 9, 3, 46, 2, 16, 29, 23, 12, 2, 17, 3, 18, 15, 6, 11, 12, 27, 30, 24, 37, 8, 1, 7, 14, 3, 30, 6, 17, 4, 11, 12, 2, 17, 6, 17, 4, 9, 21, 8, 21, 29, 20, 13, 1, 12, 45, 7, 7, 22, 21, 52, 3, 4, 15, 43, 9, 6, 14, 5, 1, 4, 15, 57, 14, 25, 4, 1, 10, 14, 30, 6, 4, 16, 24, 54, 36, 2, 9, 26, 31, 3, 13, 9, 33, 3, 14, 2, 11, 19, 4, 25, 7, 9, 28, 57, 9]"
38,127,11,128,0,22263至23022(110期),242,"[9, 4, 8, 9, 1, 20, 23, 1, 9, 20, 15, 20, 36, 3, 13, 25, 2, 7, 2, 13, 39, 4, 12, 30, 39, 21, 52, 23, 2, 15, 1, 2, 9, 1, 53, 24, 5, 66, 8, 12, 5, 7, 24, 11, 34, 24, 17, 16, 34, 13, 4, 4, 56, 39, 13, 5, 18, 12, 7, 7, 33, 10, 11, 1, 26, 5, 24, 5, 4, 20, 4, 11, 29, 14, 5, 28, 1, 9, 5, 2, 18, 8, 6, 12, 6, 6, 127, 27, 10, 37, 12, 16, 69, 26, 21, 65, 27, 19, 29, 16, 58, 11, 23, 14, 4, 1, 11, 10, 35, 5, 49, 19, 12, 5, 7, 30, 20, 1, 28, 42, 12, 23, 13, 8, 15, 5, 9, 11, 3, 13, 26, 26, 5, 51, 75, 17, 1, 3, 3, 23, 62, 4, 2, 19, 18, 29, 11, 14, 4, 55, 18, 3, 15, 2, 62, 17, 7, 15, 36, 17, 20, 33, 5, 2, 60, 24, 10, 13, 29, 20, 3, 3, 9, 5, 20, 36, 1, 27, 4, 26, 17, 28, 3, 15, 110, 3, 34, 9, 25, 24, 23, 25, 81, 25, 18, 11, 32, 3, 9, 13, 10, 4, 12, 2, 21, 3, 8, 5, 28, 6, 12, 4, 27, 3, 4, 27, 4, 4, 1, 17, 9, 40, 10, 60, 3, 1, 83, 127, 9, 24, 57]"
45,125,8,150,0,16090至16178(88期),237,"[1, 27, 2, 26, 1, 24, 125, 6, 43, 19, 18, 3, 28, 37, 9, 6, 16, 13, 12, 17, 56, 20, 41, 8, 33, 34, 25, 35, 43, 4, 39, 55, 16, 7, 18, 24, 24, 25, 8, 17, 58, 3, 3, 9, 14, 24, 8, 6, 9, 88, 3, 18, 22, 20, 10, 22, 23, 22, 25, 6, 6, 42, 8, 8, 22, 22, 39, 69, 40, 86, 3, 28, 18, 28, 12, 7, 51, 4, 6, 57, 15, 15, 20, 25, 8, 22, 2, 9, 5, 42, 39, 67, 14, 5, 3, 4, 66, 7, 9, 2, 8, 33, 12, 87, 2, 16, 51, 4, 50, 71, 46, 9, 20, 14, 9, 18, 13, 3, 9, 19, 14, 4, 15, 1, 21, 6, 6, 19, 14, 9, 4, 1, 1, 13, 12, 23, 60, 2, 3, 17, 1, 12, 13, 13, 57, 42, 51, 6, 15, 23, 44, 3, 1, 11, 34, 3, 23, 36, 4, 28, 13, 51, 2, 13, 4, 9, 2, 34, 15, 24, 34, 1, 20, 12, 5, 13, 1, 9, 18, 43, 45, 5, 4, 16, 22, 2, 35, 6, 3, 8, 12, 60, 1, 12, 4, 29, 3, 14, 20, 1, 32, 1, 41, 15, 24, 11, 7, 19, 4, 30, 13, 7, 16, 14, 6, 1, 15, 13, 10, 16, 23, 8, 37]"
18,125,6,176,0,24345至25089(96期),250,"[22, 1, 12, 3, 64, 4, 11, 11, 23, 17, 21, 30, 58, 33, 29, 1, 56, 29, 3, 15, 60, 19, 7, 34, 25, 61, 8, 9, 24, 10, 2, 26, 18, 7, 2, 13, 10, 12, 1, 13, 26, 2, 4, 12, 8, 5, 19, 31, 13, 35, 5, 22, 12, 17, 6, 40, 33, 37, 41, 7, 66, 23, 2, 3, 16, 24, 26, 19, 4, 19, 26, 21, 31, 11, 14, 19, 7, 33, 38, 7, 14, 21, 2, 20, 2, 5, 55, 10, 22, 12, 48, 33, 8, 1, 46, 32, 6, 7, 16, 2, 6, 7, 2, 12, 44, 5, 26, 11, 23, 6, 41, 13, 57, 5, 6, 2, 125, 49, 17, 5, 3, 14, 15, 7, 13, 49, 19, 41, 15, 15, 10, 14, 8, 30, 3, 16, 16, 11, 11, 7, 4, 11, 22, 20, 13, 9, 7, 33, 10, 39, 39, 22, 20, 16, 3, 7, 23, 1, 5, 13, 67, 4, 43, 43, 16, 5, 4, 34, 6, 9, 35, 21, 3, 3, 45, 8, 9, 24, 4, 23, 15, 5, 8, 66, 8, 12, 17, 2, 3, 11, 46, 16, 14, 27, 6, 6, 18, 1, 1, 9, 1, 17, 1, 1, 12, 12, 1, 39, 36, 10, 28, 23, 13, 50, 13, 32, 18, 22, 36, 24, 12, 2, 96, 7, 7, 53, 29, 9, 4, 2, 2, 17, 42, 15]"
07,124,30,48,0,23261至23329(68期),252,"[35, 23, 15, 35, 9, 5, 56, 39, 9, 45, 29, 2, 20, 11, 13, 12, 19, 5, 17, 3, 2, 12, 5, 27, 35, 12, 20, 24, 10, 5, 43, 4, 18, 6, 2, 2, 1, 3, 18, 30, 46, 7, 20, 9, 21, 4, 25, 23, 1, 32, 2, 3, 47, 5, 8, 22, 35, 25, 10, 15, 22, 4, 10, 25, 8, 4, 9, 4, 4, 1, 41, 1, 4, 37, 2, 5, 13, 11, 9, 7, 46, 5, 15, 4, 21, 2, 19, 1, 36, 15, 45, 4, 1, 23, 17, 19, 40, 26, 28, 4, 27, 60, 10, 36, 36, 1, 1, 38, 1, 7, 13, 3, 20, 38, 1, 16, 29, 25, 23, 40, 4, 12, 9, 9, 10, 10, 54, 20, 11, 24, 50, 5, 14, 7, 2, 7, 17, 5, 37, 4, 15, 25, 30, 18, 20, 20, 11, 16, 6, 12, 4, 6, 19, 34, 14, 4, 40, 3, 9, 24, 6, 12, 3, 15, 28, 8, 21, 10, 30, 4, 38, 20, 66, 26, 36, 42, 15, 41, 48, 11, 22, 1, 14, 9, 11, 7, 20, 36, 23, 12, 41, 1, 18, 10, 9, 4, 8, 1, 33, 30, 18, 29, 56, 41, 20, 24, 21, 7, 6, 68, 42, 4, 11, 5, 46, 41, 15, 1, 46, 8, 23, 3, 3, 2, 46, 7, 14, 6, 7, 6, 49, 124, 26, 9, 2, 23, 34, 10, 11]"
26,123,2,229,0,16079至16187(108期),264,"[3, 45, 24, 17, 23, 8, 24, 7, 7, 4, 24, 90, 38, 12, 23, 2, 6, 5, 13, 45, 3, 27, 16, 7, 17, 1, 14, 8, 20, 38, 3, 16, 81, 25, 17, 1, 71, 43, 20, 1, 1, 38, 14, 3, 1, 4, 11, 3, 12, 2, 4, 2, 12, 23, 4, 15, 12, 5, 15, 12, 9, 13, 4, 7, 13, 108, 2, 1, 20, 2, 4, 5, 45, 24, 29, 17, 1, 2, 23, 27, 16, 48, 12, 20, 13, 10, 17, 2, 6, 9, 15, 7, 43, 8, 7, 28, 20, 25, 5, 24, 97, 4, 19, 4, 5, 4, 18, 8, 24, 6, 3, 6, 25, 23, 36, 25, 16, 18, 6, 22, 7, 4, 2, 22, 46, 15, 4, 6, 23, 4, 4, 4, 7, 5, 21, 8, 17, 1, 9, 1, 7, 27, 12, 5, 4, 3, 48, 16, 36, 1, 10, 3, 81, 10, 23, 1, 14, 123, 16, 4, 38, 5, 13, 9, 38, 22, 25, 4, 4, 6, 18, 34, 38, 25, 3, 8, 2, 5, 40, 24, 23, 8, 45, 12, 12, 41, 11, 39, 55, 17, 20, 8, 12, 40, 2, 10, 4, 69, 7, 17, 13, 22, 18, 7, 31, 29, 8, 3, 20, 8, 6, 8, 16, 67, 17, 25, 4, 13, 7, 4, 30, 9, 15, 9, 42, 9, 27, 2, 19, 4, 1, 34, 13, 21, 1, 2, 12, 12, 6, 2, 18, 43, 7, 13, 15, 17, 8, 11, 8, 13, 58, 8, 4, 11, 19, 1]"
35,119,17,85,0,15222至15320(98期),241,"[52, 45, 28, 8, 50, 18, 39, 8, 71, 36, 23, 6, 20, 49, 19, 6, 11, 4, 37, 8, 59, 11, 9, 16, 16, 30, 119, 25, 6, 7, 37, 98, 11, 7, 36, 1, 5, 17, 15, 33, 9, 5, 87, 4, 35, 10, 32, 54, 6, 13, 40, 11, 1, 7, 30, 20, 37, 7, 2, 4, 9, 8, 8, 32, 8, 3, 36, 6, 11, 9, 16, 27, 17, 32, 13, 26, 7, 3, 8, 18, 2, 3, 6, 7, 2, 5, 33, 10, 16, 8, 6, 11, 2, 51, 13, 6, 34, 33, 15, 8, 36, 3, 3, 10, 5, 15, 13, 21, 77, 1, 7, 14, 11, 9, 41, 17, 8, 2, 3, 1, 41, 18, 14, 13, 55, 1, 8, 62, 17, 3, 60, 15, 7, 18, 3, 31, 56, 79, 3, 5, 5, 33, 17, 42, 13, 7, 3, 6, 57, 4, 20, 7, 6, 9, 1, 30, 40, 9, 7, 15, 7, 7, 19, 1, 17, 1, 18, 1, 31, 11, 3, 28, 13, 35, 42, 33, 29, 11, 1, 25, 28, 8, 18, 21, 10, 10, 44, 41, 6, 4, 8, 13, 24, 24, 4, 30, 50, 7, 13, 11, 8, 72, 1, 23, 4, 3, 12, 4, 5, 34, 13, 27, 12, 4, 15, 57, 1, 2, 58, 5, 1, 42, 32, 6, 64]"
01,119,12,120,0,25162至25274(112期),246,"[53, 9, 32, 2, 21, 5, 3, 31, 10, 27, 78, 30, 31, 6, 41, 15, 7, 15, 7, 1, 28, 70, 3, 28, 4, 4, 4, 5, 12, 39, 4, 27, 43, 2, 52, 33, 43, 11, 10, 1, 27, 10, 15, 9, 11, 24, 30, 12, 16, 1, 22, 33, 7, 24, 25, 3, 29, 23, 29, 10, 7, 19, 8, 5, 34, 13, 5, 30, 25, 11, 14, 31, 8, 35, 14, 49, 6, 71, 3, 10, 18, 12, 3, 9, 8, 1, 4, 31, 35, 52, 32, 15, 3, 1, 21, 3, 33, 7, 35, 7, 10, 2, 5, 31, 7, 13, 21, 1, 7, 15, 49, 5, 14, 5, 6, 8, 7, 22, 2, 16, 4, 5, 1, 22, 3, 17, 20, 10, 10, 16, 31, 98, 2, 21, 16, 2, 5, 12, 18, 51, 21, 27, 27, 7, 1, 3, 5, 19, 35, 3, 10, 7, 10, 1, 66, 21, 21, 5, 1, 29, 23, 40, 4, 5, 63, 2, 2, 16, 10, 16, 20, 13, 4, 60, 13, 10, 15, 119, 10, 5, 9, 53, 9, 3, 43, 42, 15, 47, 10, 24, 8, 75, 21, 6, 10, 6, 46, 9, 19, 13, 7, 22, 10, 13, 17, 64, 19, 18, 2, 21, 20, 38, 3, 15, 30, 5, 29, 11, 2, 18, 3, 2, 11, 35, 19, 7, 3, 7, 17, 4, 13, 36, 7, 5, 112]"
12,118,5,174,0,13301至14038(95期),244,"[46, 25, 23, 8, 47, 67, 17, 1, 3, 95, 9, 15, 2, 5, 29, 4, 11, 10, 3, 6, 6, 48, 33, 1, 4, 17, 32, 11, 1, 4, 13, 47, 16, 63, 23, 4, 2, 2, 39, 32, 63, 21, 31, 10, 12, 19, 37, 21, 18, 3, 24, 21, 25, 48, 6, 54, 68, 14, 1, 41, 13, 10, 23, 54, 3, 46, 5, 32, 4, 6, 23, 11, 2, 38, 16, 6, 15, 8, 58, 2, 13, 67, 38, 24, 6, 17, 9, 42, 29, 26, 36, 16, 2, 34, 13, 8, 53, 23, 24, 1, 6, 7, 40, 33, 38, 10, 23, 14, 5, 11, 8, 23, 1, 30, 5, 11, 18, 16, 6, 11, 5, 2, 8, 19, 15, 52, 16, 44, 22, 6, 1, 1, 36, 11, 2, 7, 9, 11, 18, 1, 27, 4, 15, 26, 5, 29, 10, 15, 13, 36, 3, 16, 8, 19, 7, 21, 3, 15, 118, 8, 13, 17, 49, 45, 22, 11, 19, 2, 8, 31, 3, 1, 22, 8, 9, 14, 2, 22, 49, 7, 19, 20, 4, 7, 33, 5, 16, 12, 11, 9, 20, 29, 43, 4, 18, 4, 3, 37, 3, 7, 5, 49, 11, 30, 9, 73, 1, 25, 2, 1, 23, 62, 45, 34, 26, 15, 14, 3, 3, 10, 1, 5, 16, 5, 40, 27, 8, 18]"
